job_title,company_name,location,start_date,ctc,experience,posted,ctc_min,ctc_max,location_encoded,job_title_encoded,ctc_min_scaled,ctc_max_scaled
Trainee - SCM,Raj Petro Specialities Private Limited,Manali,Starts Immediately,"₹ 2,00,000 - 2,80,000",0-2 years,3 weeks ago,200000,280000,25,164,0.0,0.07999999999999999
Admission Support Officer,Aakash Educational Services Limited,Delhi,Starts Immediately,"₹ 3,00,000 - 4,50,000",0-2 years,3 weeks ago,300000,450000,9,6,0.1428571428571429,0.24999999999999997
Business Development (Sales) Executive,Planet Spark,Gurgaon,Starts Immediately,"₹ 3,00,000 - 7,00,000",0-5 years,3 weeks ago,300000,700000,12,27,0.1428571428571429,0.5
Customer Support Associate,PolicyBazaar.com,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,10,000",0-2 years,3 weeks ago,200000,210000,28,57,0.0,0.010000000000000009
Business Development Associate,Bhanzu (Formerly Exploring Infinities),Bangalore,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,3 weeks ago,200000,300000,1,28,0.0,0.1
UK Healthcare Recruiter,IMS Group,Ahmedabad,Starts Immediately,"₹ 2,50,000 - 3,50,000",0-2 years,3 weeks ago,250000,350000,0,166,0.07142857142857145,0.15
Creative Designer,Hello Parent,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,3 weeks ago,200000,300000,41,48,0.0,0.1
Business Development Executive,BYJU'S The Learning App,Gujarat,Starts Immediately,"₹ 2,10,000 - 2,70,000",0-2 years,3 weeks ago,210000,270000,11,32,0.01428571428571429,0.06999999999999998
Business Development Executive,GBH Auto Mechanics & Services LLP,Kolkata,Starts Immediately,"₹ 3,00,000",0-2 years,3 weeks ago,300000,300000,21,32,0.1428571428571429,0.1
Business Development Associate,GBH Auto Mechanics And Services LLP,Work from home,Starts Immediately,"₹ 5,00,000 - 12,00,000",0-5 years,3 weeks ago,500000,1200000,41,28,0.4285714285714286,1.0
Business Development Executive,GBH Auto Mechanics & Services LLP,Work from home,Starts Immediately,"₹ 4,80,000 - 6,00,000",0-5 years,3 weeks ago,480000,600000,41,32,0.4,0.4
Business Development Manager,Decathlon Sport India Private Limited,Mumbai,Starts Immediately,"₹ 3,00,000 - 3,36,000",0-2 years,3 weeks ago,300000,336000,28,33,0.1428571428571429,0.13599999999999998
Billing & Collections Analyst (Accountant),Enfusion,Mumbai,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,3 weeks ago,300000,400000,28,22,0.1428571428571429,0.19999999999999998
Business Development Specialist,Planet Spark,Gurgaon,Starts Immediately,"₹ 3,00,000 - 7,00,000",0-5 years,3 weeks ago,300000,700000,12,34,0.1428571428571429,0.5
Animator,Saregama India Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,16,000",0-2 years,3 weeks ago,200000,216000,28,8,0.0,0.016000000000000014
Facebook Marketing Executive,Saregama India Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,3 weeks ago,200000,240000,28,71,0.0,0.04000000000000001
Team Leader,Bajaj Allianz Life Insurance,Kolkata,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,3 weeks ago,200000,300000,21,160,0.0,0.1
Business Development Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Starts Immediately,"₹ 2,50,000 - 4,80,000",0-2 years,3 weeks ago,250000,480000,1,32,0.07142857142857145,0.28
SME: Physics,Straive,Work from home,Starts Immediately,"₹ 3,00,000",0-2 years,3 weeks ago,300000,300000,41,136,0.1428571428571429,0.1
SME: Statistics,Straive,Work from home,Starts Immediately,"₹ 3,00,000",0-2 years,3 weeks ago,300000,300000,41,137,0.1428571428571429,0.1
SME: Mathematics,Straive,Work from home,Starts Immediately,"₹ 3,00,000",0-2 years,3 weeks ago,300000,300000,41,135,0.1428571428571429,0.1
SME: Chemistry,Straive,Work from home,Starts Immediately,"₹ 3,00,000",0-2 years,3 weeks ago,300000,300000,41,134,0.1428571428571429,0.1
Senior Social Media Marketing Manager,Valkyre Clothing,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,50,000",1-3 years,"Just now


Be an early applicant",250000,350000,28,150,0.07142857142857145,0.15
Graphic Designer,Marcamor Consulting,Hyderabad,Starts Immediately,"₹ 3,50,000 - 5,00,000",1-3 years,"Just now


Be an early applicant",350000,500000,16,82,0.2142857142857143,0.30000000000000004
Academic Counselor - Inside Sales,DataTrained Education Private Limited,Noida,Starts Immediately,"₹ 2,50,000 - 5,00,000",0-2 years,"Just now


Be an early applicant",250000,500000,31,4,0.07142857142857145,0.30000000000000004
Sales Executive,Gainers Realtors LLP,Gurgaon,Starts Immediately,"₹ 2,00,000 - 4,20,000",0-5 years,"Just now


Be an early applicant",200000,420000,12,140,0.0,0.22
STEM Trainer,Robokidz Eduventures Private Limited,Pune,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,"Just now


Be an early applicant",240000,300000,33,138,0.05714285714285716,0.1
Business Development (Sales) Associate,Bosscoder Academy,Work from home,Starts Immediately,"₹ 3,00,000 - 6,00,000",0-2 years,"Just now


Be an early applicant",300000,600000,41,26,0.1428571428571429,0.4
Mobile Application Developer - React Native,Guruji Astro,Jaipur,Starts Immediately,"₹ 5,00,000 - 8,00,000",3-5 years,"Few hours ago


Be an early applicant",500000,800000,18,117,0.4285714285714286,0.6
Senior Front End Developer,Guruji Astro,Jaipur,Starts Immediately,"₹ 5,00,000 - 8,00,000",3-5 years,"Few hours ago


Be an early applicant",500000,800000,18,149,0.4285714285714286,0.6
Customer Care Executive - Remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 5,00,000",1-5 years,Few hours ago,300000,500000,41,51,0.1428571428571429,0.30000000000000004
Digital Marketing Associate - Remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 4,00,000 - 6,00,000",1-4 years,Few hours ago,400000,600000,41,60,0.2857142857142857,0.4
Performance Marketing Associate,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 5,00,000 - 7,00,000",2-4 years,"Few hours ago


Be an early applicant",500000,700000,41,126,0.4285714285714286,0.5
Junior Search Engine Optimization (SEO) Executive,Comit Solution,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",1-2 years,"Few hours ago


Be an early applicant",200000,300000,41,110,0.0,0.1
Product Marketing Associate,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 4,00,000 - 6,00,000",1-4 years,"Few hours ago


Be an early applicant",400000,600000,41,127,0.2857142857142857,0.4
Paid Media Executive - Remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 5,00,000 - 6,00,000",1-4 years,"Few hours ago


Be an early applicant",500000,600000,41,124,0.4285714285714286,0.4
Content Strategist - Remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 5,00,000",1-4 years,"Few hours ago


Be an early applicant",300000,500000,41,43,0.1428571428571429,0.30000000000000004
Associate Graphic Designer,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 5,00,000",1-3 years,Few hours ago,300000,500000,41,16,0.1428571428571429,0.30000000000000004
Junior Search Engine Optimization (SEO) Executive - Remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 6,00,000",0-3 years,Few hours ago,300000,600000,41,111,0.1428571428571429,0.4
Remote Marketing Consultant,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 5,00,000 - 6,00,000",2-5 years,"Few hours ago


Be an early applicant",500000,600000,41,133,0.4285714285714286,0.4
Marketing Coordinator - Remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 5,00,000",1-3 years,"Few hours ago


Be an early applicant",300000,500000,41,114,0.1428571428571429,0.30000000000000004
Content Marketing Specialist,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 4,00,000 - 5,00,000",1-5 years,"Few hours ago


Be an early applicant",400000,500000,41,42,0.2857142857142857,0.30000000000000004
Video Editor - Remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-3 years,"Few hours ago


Be an early applicant",300000,400000,41,170,0.1428571428571429,0.19999999999999998
Video Marketing Executive - Remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 5,00,000 - 7,00,000",2-5 years,"Few hours ago


Be an early applicant",500000,700000,41,171,0.4285714285714286,0.5
Business Development Associate,Nixio Tech,Work from home,Starts Immediately,"₹ 4,50,000 - 6,50,000",0-4 years,Few hours ago,450000,650000,41,28,0.3571428571428572,0.45000000000000007
E-commerce Marketing Specialist - Remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 4,00,000 - 6,00,000",0-5 years,"Few hours ago


Be an early applicant",400000,600000,41,64,0.2857142857142857,0.4
Copywriter - Remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,Few hours ago,300000,500000,41,45,0.1428571428571429,0.30000000000000004
Digital Marketing Executive,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 2,50,000 - 4,50,000",0-2 years,Few hours ago,250000,450000,41,61,0.07142857142857145,0.24999999999999997
Telesales Executive,NetPaisa,Noida,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,200000,300000,31,163,0.0,0.1
Instagram Marketing Specialist - Remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 4,50,000",0 years,Few hours ago,300000,450000,41,98,0.1428571428571429,0.24999999999999997
Social Media Executive - Remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-4 years,"Few hours ago


Be an early applicant",300000,500000,41,152,0.1428571428571429,0.30000000000000004
Social Media Marketing Associate - Remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,"Few hours ago


Be an early applicant",300000,500000,41,154,0.1428571428571429,0.30000000000000004
Marketing Executive - Remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,"Few hours ago


Be an early applicant",300000,500000,41,116,0.1428571428571429,0.30000000000000004
Team Lead - Telecalling,MAG Finserv,Pune,Starts Immediately,"₹ 2,00,000 - 2,40,000",1-2 years,"Today


Be an early applicant",200000,240000,33,158,0.0,0.04000000000000001
Internal Auditor,MAG Finserv,Pune,Starts Immediately,"₹ 3,00,000 - 3,50,000",0-3 years,"Today


Be an early applicant",300000,350000,33,100,0.1428571428571429,0.15
HR Manager,MAG Finserv,Pune,Starts Immediately,"₹ 5,00,000 - 6,00,000",4-5 years,"Today


Be an early applicant",500000,600000,33,86,0.4285714285714286,0.4
Event Executive - Exhibition,Peppermint Communications Private Limited,Thane,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-3 years,"2 days ago


Be an early applicant",200000,240000,36,66,0.0,0.04000000000000001
Event Management Executive,Breakout,Koramangala,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-1 years,"3 days ago


Be an early applicant",240000,300000,22,67,0.05714285714285716,0.1
Marketing Executive,Right Health & Pharmaceuticals,Mumbai,Starts Immediately,"₹ 3,00,000 - 8,00,000",1-5 years,"1 day ago


Be an early applicant",300000,800000,28,115,0.1428571428571429,0.6
CUSTOMER RELATIONSHIP MANAGER SALES,Stareye Media & Entertainment Private Limited,Ahmedabad,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-5 years,"2 days ago


Be an early applicant",200000,300000,0,37,0.0,0.1
Digital Marketing Executive,Vritti Solution Limited,Coimbatore,Starts Immediately,"₹ 2,00,000 - 2,50,000",1-3 years,"3 days ago


Be an early applicant",200000,250000,7,61,0.0,0.05000000000000002
Digital Marketing Executive,Mobavenue Media Private Limited,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,50,000",0-2 years,4 days ago,250000,350000,28,61,0.07142857142857145,0.15
Jr Video Editing And Production Specialist,Peppermint Communications Private Limited,Bhiwandi,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,"1 day ago


Be an early applicant",240000,300000,2,101,0.05714285714285716,0.1
Executive Assistant,Peppermint Communications Private Limited,Ulhasnagar,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-3 years,"2 days ago


Be an early applicant",200000,300000,39,70,0.0,0.1
Manual Jewelry Designer,Axe Consultancy And Security Services LLC,Surat,Starts Immediately,"₹ 2,00,000",0-2 years,"2 days ago


Be an early applicant",200000,200000,35,113,0.0,0.0
Associate Video Editor,K4 Media & Technologies,Jaipur,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-5 years,"2 days ago


Be an early applicant",200000,300000,18,18,0.0,0.1
Field Sales Executive,PatilKaki,Navi Mumbai,Starts Immediately,"₹ 2,00,000 - 2,50,000",1-2 years,"3 days ago


Be an early applicant",200000,250000,30,77,0.0,0.05000000000000002
Junior Sales Executive,Tring,Thane,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,"1 day ago


Be an early applicant",200000,300000,36,109,0.0,0.1
Digital Marketing Executive,Akrati Jewels Incorporation,Jaipur,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,"2 days ago


Be an early applicant",200000,240000,18,61,0.0,0.04000000000000001
Associate - Operations (Accountancy),Lloyd Harrington Australia Proprietary Limited,Guwahati,Starts Immediately,"₹ 2,00,000 - 3,00,000",1-2 years,"2 days ago


Be an early applicant",200000,300000,13,12,0.0,0.1
Marketing Executive,MAG Finserv,Pune,Starts Immediately,"₹ 2,40,000 - 3,00,000",1-3 years,"2 days ago


Be an early applicant",240000,300000,33,115,0.05714285714285716,0.1
Front Desk And Admin Executive,Shemrock & Shemford Group Of Schools,Gurgaon,Starts Immediately,"₹ 2,40,000 - 4,20,000",1-4 years,3 days ago,240000,420000,12,81,0.05714285714285716,0.22
Graphic Designer & Video Editor,The BrowMasters,Mumbai,Starts Immediately,"₹ 4,00,000 - 6,00,000",1-5 years,4 days ago,400000,600000,28,83,0.2857142857142857,0.4
Business Development Associate,VerveSchool,Bhopal,Starts Immediately,"₹ 6,00,000 - 8,00,000",0-1 years,4 days ago,600000,800000,3,28,0.5714285714285715,0.6
Corporate Sales Executive,Red Cube Digital Media Private Limited,Delhi,Starts Immediately,"₹ 5,00,000",2 years,"5 days ago


Be an early applicant",500000,500000,9,47,0.4285714285714286,0.30000000000000004
Business Development Executive,Fusion Beauty,Delhi,Starts Immediately,"₹ 2,40,000 - 5,00,000",1-5 years,"2 days ago


Be an early applicant",240000,500000,9,32,0.05714285714285716,0.30000000000000004
Business Development Associate (Mumbai),IB Cricket,Thane,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-2 years,"2 days ago


Be an early applicant",300000,500000,36,29,0.1428571428571429,0.30000000000000004
Business Development Associate,Careers360,Gurgaon,Starts Immediately,"₹ 2,50,000 - 4,50,000",0-1 years,3 days ago,250000,450000,12,28,0.07142857142857145,0.24999999999999997
Field Fundraiser - Greenpeace NGO,Direct Dialogue Initiatives India Private Limited,Bangalore,Starts Immediately,"₹ 3,00,000 - 3,50,000",0-3 years,"3 days ago


Be an early applicant",300000,350000,1,75,0.1428571428571429,0.15
Field Sales Executive,Vritti Solution Limited,Kota,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-1 years,"3 days ago


Be an early applicant",200000,240000,23,77,0.0,0.04000000000000001
Back Office Executive,Axe Consultancy And Security Services LLC,Surat,Starts Immediately,"₹ 2,00,000 - 2,00,001",0-2 years,"2 days ago


Be an early applicant",200000,200001,35,21,0.0,1.000000000001e-06
Customer Service Executive,GetWork,Delhi,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,2 days ago,200000,240000,9,53,0.0,0.04000000000000001
Audit And Accounts Executive,MAG Finserv,Pune,Starts Immediately,"₹ 2,40,000 - 3,00,000",1-3 years,"2 days ago


Be an early applicant",240000,300000,33,19,0.05714285714285716,0.1
Associate Content Writer,K4 Media & Technologies,Jaipur,Starts Immediately,"₹ 2,00,000",0-5 years,"2 days ago


Be an early applicant",200000,200000,18,15,0.0,0.0
Bolt Operator And Assitant,Bonanza Portfolio Limited,Kalyan,Starts Immediately,"₹ 2,00,000 - 2,50,000",1-5 years,"3 days ago


Be an early applicant",200000,250000,19,23,0.0,0.05000000000000002
Business Development Executive,Able Jobs,Bangalore,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-4 years,"4 days ago


Be an early applicant",300000,400000,1,32,0.1428571428571429,0.19999999999999998
Senior Associate - Trainings Content Development,Internshala Trainings,Gurgaon,Starts Immediately,"₹ 5,00,000 - 6,00,000",1-2 years,"1 day ago


Be an early applicant",500000,600000,12,147,0.4285714285714286,0.4
Business Development Executive,Xboom Utilities Private Limited,Delhi,Starts Immediately,"₹ 3,60,000 - 5,00,000",0-5 years,1 day ago,360000,500000,9,32,0.22857142857142865,0.30000000000000004
Business Development Manager,Fusion Beauty,Delhi,Starts Immediately,"₹ 3,00,000 - 6,00,000",1-5 years,"2 days ago


Be an early applicant",300000,600000,9,33,0.1428571428571429,0.4
Client Relationship Manager,Fusion Beauty,Delhi,Starts Immediately,"₹ 3,00,000 - 6,00,000",1-5 years,"2 days ago


Be an early applicant",300000,600000,9,38,0.1428571428571429,0.4
Associate - Operations (Accountancy),Lloyd Harrington Australia Proprietary Limited,Kolkata,Starts Immediately,"₹ 2,00,000 - 3,00,000",1-2 years,"2 days ago


Be an early applicant",200000,300000,21,12,0.0,0.1
Field Fundraiser,Direct Dialogue Initiatives India Private Limited,Hyderabad,Starts Immediately,"₹ 3,00,000 - 3,50,000",0-3 years,2 days ago,300000,350000,16,74,0.1428571428571429,0.15
Advocate,IRA Consulting,Thane,Starts Immediately,"₹ 3,00,000 - 4,00,000",1-2 years,"3 days ago


Be an early applicant",300000,400000,36,7,0.1428571428571429,0.19999999999999998
Customer Service Associate,The Banyan Tee,Bhopal,Starts Immediately,"₹ 2,00,000",0-2 years,1 week ago,200000,200000,3,52,0.0,0.0
ERP Implementation Executive ( Location Mumbai Malad),Vritti Solution Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,10,000",0-1 years,"3 days ago


Be an early applicant",200000,210000,28,65,0.0,0.010000000000000009
Graphic Designer,Blue Rose Publishers,Delhi,Starts Immediately,"₹ 2,00,000 - 3,00,000",1-2 years,3 days ago,200000,300000,9,82,0.0,0.1
Associate Graphic Designer,FlytBase Labs,Pune,Starts Immediately,"₹ 4,00,000 - 8,00,000",1-5 years,3 days ago,400000,800000,33,16,0.2857142857142857,0.6
