job_title,company_name,location,start_date,ctc,experience,posted
Human Resources (HR) Associate,SBI Funds Management Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,4 days ago
Home Consultant,Pepperfry,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,50,000",0-2 years,4 days ago
Business Development Associate,BYJU'S The Learning App,Gujarat,Starts Immediately,"₹ 7,00,000 - 8,00,000",0-5 years,4 days ago
RETAIL PARTNER (TEAM LEADER),Bajaj Allianz Life Insurance Company Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,4 days ago
Field Sales Executive,NoBroker Technologies Solutions Private Limited,Mumbai,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,5 days ago
HR Executive,Mynd Solutions Private Limited,Noida,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,5 days ago
Relationship Manager,HiyaMee Private Limited,Mumbai,Starts Immediately,"₹ 3,75,000 - 4,00,000",0-2 years,5 days ago
Business Development Associate,BYJUs,Udaipur,Starts Immediately,"₹ 7,50,000 - 8,50,000",0-5 years,5 days ago
Junior Engineer,Enphase Solar Energy,Delhi,Starts Immediately,"₹ 4,00,000",0-2 years,6 days ago
Executive - Product Support,Directi,Bangalore,Starts Immediately,"₹ 5,00,000",0-5 years,6 days ago
Omni Sport Leader (Women),Decathlon,Bangalore,Starts Immediately,"₹ 2,88,000 - 3,24,000",0-2 years,6 days ago
PRS Analyst,Viacom 18 Media Private Limited,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,50,000",0-2 years,6 days ago
3D Generalist,Studio Image Works,Gurgaon,Starts Immediately,"₹ 3,00,000 - 5,00,000",1 year,3 weeks ago
Associate Accountant,Team Management Services,Thane,Starts Immediately,"₹ 2,00,000 - 3,50,000",0-2 years,6 days ago
Business Development Associate,Kalvium,Bangalore,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,1 week ago
Business Development Associate,Leverage Edu,Noida,Starts Immediately,"₹ 6,60,000 - 7,00,000",0-5 years,1 week ago
Data Analyst Consultant,Educate Girls,Work from home,Starts Immediately,"₹ 4,00,000 - 8,00,000",0-5 years,1 week ago
US IT Recruiter,Spectraforce Technologies,Mohali,Starts Immediately,"₹ 3,00,000 - 3,60,000",0-2 years,1 week ago
Human Resources (HR) Executive,Hear.com,Gurgaon,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Business Development Associate,Urban Company,Bangalore,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago
Business Development Manager,MyGate,Gurgaon,Starts Immediately,"₹ 4,00,000 - 6,00,000",0-5 years,1 week ago
Accounts Executive - Taxation,AQM Technologies,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Business Development Associate,BYJUs,Bangalore,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,1 week ago
Feild Sales Officer,Paytm,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Sales Recruitment,GBH Auto Mechanics & Services LLP,Work from home,Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5 years,1 week ago
Business Development Executive,Plada Infotech Services Limited,Noida,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago
Sales Manager,Bajaj Allianz Life Insurance Company Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Business Development Associate,BYJU'S The Learning App,Delhi,Starts Immediately,"₹ 4,50,000 - 5,50,000",0-5 years,1 week ago
Business Operations Analyst,Media.net,Mumbai,Starts Immediately,"₹ 3,00,000",0-2 years,1 week ago
Corporate Sales Executive,PolicyBazaar.com,Gurgaon,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Field Sales Executive/Counselor/Relationship Executive,Lifecell International Private Limited,Delhi,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,1 week ago
Interior Designer,NoBroker Technologies Solutions Private Limited,Mumbai,Starts Immediately,"₹ 3,09,600 - 3,81,600",0-2 years,1 week ago
Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Starts Immediately,"₹ 4,10,000 - 4,20,000",0-2 years,1 week ago
Omni Sport Leader,Decathlon,Chinchwad,Starts Immediately,"₹ 2,80,000 - 3,00,000",0-2 years,1 week ago
Interior Designer,NoBroker Technologies Solutions Private Limited,Gurgaon,Starts Immediately,"₹ 2,00,000 - 3,80,000",0-2 years,1 week ago
Telecaller,People Interactive Private Limited (Shaadi.com),Chennai,Starts Immediately,"₹ 2,00,000 - 2,75,000",0-2 years,1 week ago
Zonal Assistant Manager- Logistics,FirstCry.com,Work from home,Starts Immediately,"₹ 3,60,000 - 4,00,000",0-2 years,1 week ago
Executive - Catalogue Music,Saregama India Limited,Mumbai,Starts Immediately,"₹ 3,50,000 - 4,00,000",0-2 years,1 week ago
Inside Sales Specialist,Infinity Learn,Noida,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,1 week ago
Jr. Graphic Designer,LimeRoad,Gurgaon,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago
Customer Success Associate,Media.net,Bangalore,Starts Immediately,"₹ 4,00,000 - 4,50,000",0-2 years,1 week ago
Associate Accountant,RAK Ceramics,Samalkota,Starts Immediately,"₹ 2,50,000 - 4,00,000",0-2 years,1 week ago
Junior Recruiter,IMS Group,Ahmedabad,Starts Immediately,"₹ 2,46,000 - 3,00,000",0-2 years,1 week ago
