job_title,company_name,location,start_date,ctc,experience,posted
omni sport leader  women ,Decathlon,Bangalore,Starts Immediately,"₹ 2,88,000 - 3,24,000",0-2 years,6 days ago
prs analyst,Viacom 18 Media Private Limited,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,50,000",0-2 years,6 days ago
  generalist,Studio Image Works,Gurgaon,Starts Immediately,"₹ 3,00,000 - 5,00,000",1 year,3 weeks ago
associate accountant,Team Management Services,"Thane, Navi Mumbai, Dombivli, Kalyan, Mumbai, Ambernath, Kurla",Starts Immediately,"₹ 2,00,000 - 3,50,000",0-2 years,6 days ago
business development associate,Kalvium,Bangalore,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,1 week ago
business development associate,Leverage Edu,Noida,Starts Immediately,"₹ 6,60,000 - 7,00,000",0-5 years,1 week ago
data analyst consultant,Educate Girls,Work from home,Starts Immediately,"₹ 4,00,000 - 8,00,000",0-5 years,1 week ago
us it recruiter,Spectraforce Technologies,Mohali,Starts Immediately,"₹ 3,00,000 - 3,60,000",0-2 years,1 week ago
human resources  hr  executive,Hear.com,Gurgaon,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
business development associate,Urban Company,Bangalore,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago
business development manager,MyGate,"Gurgaon, Noida, Bangalore",Starts Immediately,"₹ 4,00,000 - 6,00,000",0-5 years,1 week ago
accounts executive   taxation,AQM Technologies,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
business development associate,BYJUs,"Bangalore, Chennai, Hyderabad",Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,1 week ago
feild sales officer,Paytm,"Madhya Pradesh, Punjab, Bihar, Hariyana, Mumbai, Ghaziabad",Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
sales recruitment,GBH Auto Mechanics & Services LLP,Work from home,Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5 years,1 week ago
business development executive,Plada Infotech Services Limited,"Noida, Gurgaon, Delhi",Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago
sales manager,Bajaj Allianz Life Insurance Company Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
business development associate,BYJU'S The Learning App,"Delhi, Rajasthan, Gujrat, Punjab, Uttarkhanda",Starts Immediately,"₹ 4,50,000 - 5,50,000",0-5 years,1 week ago
business operations analyst,Media.net,Mumbai,Starts Immediately,"₹ 3,00,000",0-2 years,1 week ago
corporate sales executive,PolicyBazaar.com,Gurgaon,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
field sales executive counselor relationship executive,Lifecell International Private Limited,"Delhi, Gurgaon, Uttar Pradesh",Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,1 week ago
interior designer,NoBroker Technologies Solutions Private Limited,"Mumbai, Hyderabad, Noida, Gurgaon",Starts Immediately,"₹ 3,09,600 - 3,81,600",0-2 years,1 week ago
sales executive,NoBroker Technologies Solutions Private Limited,Bangalore,Starts Immediately,"₹ 4,10,000 - 4,20,000",0-2 years,1 week ago
omni sport leader,Decathlon,"Chinchwad, Wakad, Nigdi, Pimpri-Chinchwad, Pune, Akurdi, Aundh",Starts Immediately,"₹ 2,80,000 - 3,00,000",0-2 years,1 week ago
interior designer,NoBroker Technologies Solutions Private Limited,Gurgaon,Starts Immediately,"₹ 2,00,000 - 3,80,000",0-2 years,1 week ago
telecaller,People Interactive Private Limited (Shaadi.com),Chennai,Starts Immediately,"₹ 2,00,000 - 2,75,000",0-2 years,1 week ago
zonal assistant manager  logistics,FirstCry.com,Work from home,Starts Immediately,"₹ 3,60,000 - 4,00,000",0-2 years,1 week ago
executive   catalogue music,Saregama India Limited,Mumbai,Starts Immediately,"₹ 3,50,000 - 4,00,000",0-2 years,1 week ago
inside sales specialist,Infinity Learn,Noida,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,1 week ago
jr  graphic designer,LimeRoad,Gurgaon,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago
customer success associate,Media.net,"Bangalore, Mumbai",Starts Immediately,"₹ 4,00,000 - 4,50,000",0-2 years,1 week ago
associate accountant,RAK Ceramics,Samalkota,Starts Immediately,"₹ 2,50,000 - 4,00,000",0-2 years,1 week ago
junior recruiter,IMS Group,Ahmedabad,Starts Immediately,"₹ 2,46,000 - 3,00,000",0-2 years,1 week ago
tele associate   free listed seller content enrichment,IndiaMART InterMESH Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 2,25,000",0-2 years,1 week ago
junior lawyer,DR LAW,Delhi,Starts Immediately,"₹ 2,00,000",0-2 years,1 week ago
